TotalScore,LiteralScore,InferentialScore,CriticalScore,TotalCorrect,TotalErrors,AnsweredQuestions,TotalQuestions,CompletionPercentage,TotalTimeSeconds,AverageTimeSeconds,CurrentDifficultyRank,PreviousProgressDelta,CompletedReadingSessions,PredictedAction
18,20,10,25,1,7,8,8,100,240,30,1,-15,0,Reforzar
25,30,20,20,2,6,8,8,100,260,32.5,1,-10,1,Reforzar
32,35,25,30,3,5,8,8,100,280,35,2,-20,1,Reforzar
40,45,35,30,3,5,8,8,100,310,38.75,2,-8,2,Reforzar
45,42,40,38,4,4,8,8,100,340,42.5,2,-5,2,Reforzar
35,30,38,35,3,5,8,8,100,300,37.5,3,-12,2,Reforzar
22,18,25,20,2,6,8,8,100,250,31.25,1,-18,0,Reforzar
48,50,40,45,4,4,8,8,100,360,45,3,-6,3,Reforzar
28,25,30,25,2,6,8,8,100,270,33.75,2,-14,1,Reforzar
42,40,45,38,4,4,8,8,100,330,41.25,2,-4,2,Reforzar
58,60,55,50,5,3,8,8,100,300,37.5,1,5,1,AvanzarConApoyo
62,65,55,60,5,3,8,8,100,280,35,1,8,2,AvanzarConApoyo
66,70,60,62,6,2,8,8,100,260,32.5,2,10,2,AvanzarConApoyo
70,72,68,65,6,2,8,8,100,240,30,2,12,3,AvanzarConApoyo
74,75,70,68,6,2,8,8,100,220,27.5,2,15,3,AvanzarConApoyo
68,70,64,62,6,2,8,8,100,250,31.25,3,6,3,AvanzarConApoyo
60,62,58,55,5,3,8,8,100,290,36.25,1,4,1,AvanzarConApoyo
76,78,72,70,6,2,8,8,100,210,26.25,3,10,4,AvanzarConApoyo
64,66,60,58,5,3,8,8,100,270,33.75,2,7,2,AvanzarConApoyo
72,74,70,66,6,2,8,8,100,230,28.75,2,9,3,AvanzarConApoyo
86,88,84,82,7,1,8,8,100,210,26.25,1,14,2,Avanzar
90,92,88,86,8,0,8,8,100,190,23.75,1,18,3,Avanzar
88,90,86,84,7,1,8,8,100,200,25,2,16,3,Avanzar
92,94,90,88,8,0,8,8,100,180,22.5,2,20,4,Avanzar
95,96,92,94,8,0,8,8,100,170,21.25,2,22,4,Avanzar
87,88,85,82,7,1,8,8,100,205,25.625,3,12,4,Avanzar
91,92,90,86,8,0,8,8,100,185,23.125,3,17,5,Avanzar
89,90,88,84,7,1,8,8,100,195,24.375,2,15,3,Avanzar
93,94,91,90,8,0,8,8,100,175,21.875,3,19,5,Avanzar
96,98,94,92,8,0,8,8,100,160,20,3,24,5,Avanzar
